,co2,load_energy_mwh_pt,flow_net_mw_ES_FR,flow_net_mw_ES_PT,psi_eur_pts,d_TTF,d_coal,d_load_energy_mwh_es,d_load_energy_mwh_fr,d_cac_eur_pts,d_ibex_eur_pts,iberian_exception
co2,1.0,-0.13456856396879674,0.040107784690782224,0.07555827167395275,-0.4233727518512359,0.04598783647523634,0.008976949425463863,-0.010049011691979977,-0.00819489454195735,-0.016038448492209343,-0.026319202447652647,0.2971136418906382
load_energy_mwh_pt,-0.13456856396879674,1.0,0.11297382409331122,-0.28813463901060177,0.07930786017296637,-0.01605741484820621,-0.0193016125879476,0.340467239181047,0.1732060607899361,0.041678409124383295,0.03560592063272338,0.01059792876397936
flow_net_mw_ES_FR,0.040107784690782224,0.11297382409331122,1.0,-0.43397685551912346,-0.27587096616379075,-0.031808358460324544,-0.0038959831012920962,-0.02353501378076806,-0.038512060540052635,0.04786427451105307,0.023218736646432953,0.43059439615113443
flow_net_mw_ES_PT,0.07555827167395275,-0.28813463901060177,-0.43397685551912346,1.0,0.1401378630846139,0.03738839516924534,0.05246357116720039,-0.07026664435509218,-0.008714702840427782,-0.02563825100407059,-0.02854516331830046,-0.22324907688743148
psi_eur_pts,-0.4233727518512359,0.07930786017296637,-0.27587096616379075,0.1401378630846139,1.0,0.05841299168096273,0.07422114455925262,-0.0003282961889298145,-0.009913684018784227,-0.008182338689370194,0.060847938039864234,-0.6097402205250976
d_TTF,0.04598783647523634,-0.01605741484820621,-0.031808358460324544,0.03738839516924534,0.05841299168096273,1.0,0.16885477103795124,-0.022174541585491005,0.0032823498572510826,-0.05341173102589759,-0.03389532855745675,-0.01687788328258803
d_coal,0.008976949425463863,-0.0193016125879476,-0.0038959831012920962,0.05246357116720039,0.07422114455925262,0.16885477103795124,1.0,-0.052731304455333826,-0.006934106374796703,-0.07623503225517303,-0.08227200792512175,-0.06833503480819116
d_load_energy_mwh_es,-0.010049011691979977,0.340467239181047,-0.02353501378076806,-0.07026664435509218,-0.0003282961889298145,-0.022174541585491005,-0.052731304455333826,1.0,0.4694195981588341,-0.014843379466875624,0.033665395650497636,-0.009988078811325785
d_load_energy_mwh_fr,-0.00819489454195735,0.1732060607899361,-0.038512060540052635,-0.008714702840427782,-0.009913684018784227,0.0032823498572510826,-0.006934106374796703,0.4694195981588341,1.0,0.0021777742412962607,0.009918091541968788,-0.005547125134509629
d_cac_eur_pts,-0.016038448492209343,0.041678409124383295,0.04786427451105307,-0.02563825100407059,-0.008182338689370194,-0.05341173102589759,-0.07623503225517303,-0.014843379466875624,0.0021777742412962607,1.0,0.7662000046285304,0.035097879921538455
d_ibex_eur_pts,-0.026319202447652647,0.03560592063272338,0.023218736646432953,-0.02854516331830046,0.060847938039864234,-0.03389532855745675,-0.08227200792512175,0.033665395650497636,0.009918091541968788,0.7662000046285304,1.0,-0.0008031093175981987
iberian_exception,0.2971136418906382,0.01059792876397936,0.43059439615113443,-0.22324907688743148,-0.6097402205250976,-0.01687788328258803,-0.06833503480819116,-0.009988078811325785,-0.005547125134509629,0.035097879921538455,-0.0008031093175981987,1.0
